                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
compute-0-137   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-138   state-unknown        0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-235   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-139   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-97    job-busy             2     2      0    16gb/63gb    0/16     0/0     0/0 1455104,1974474
compute-0-40    free                 0     0      0    71gb/71gb   12/12     0/0     0/0 --
compute-0-98    job-busy             1     1      0    63gb/63gb    0/16     0/0     0/0 4096674
compute-0-228   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-156   free                14    14      0  231gb/252gb    2/16     0/0     0/0 4083269,9067538,3014863,3014860,4070379,3783574,3014871,9067544,4070376,4070381,3014870,3014868,4083277,4083282
compute-0-232   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-96    job-busy             1     1      0    63gb/63gb    0/16     0/0     0/0 4098101
compute-0-60    free                 1     1      0    19gb/23gb   23/24     0/0     0/0 4090233
compute-0-32    job-busy             1     1      0    11gb/71gb    0/12     0/0     0/0 7167241
compute-0-233   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-191   free                 0     0      0  126gb/126gb   20/20     0/0     0/0 --
compute-0-33    free                 0     0      0    59gb/59gb   12/12     0/0     0/0 --
compute-0-36    free                 0     0      0    71gb/71gb   12/12     0/0     0/0 --
compute-0-218   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-219   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-248   free                18    18      0    60gb/63gb   20/40     0/0     0/0 3884877,7780038,3884877,3891095,3912767,3912866,3912867,3912868,3912869,3912870,3912871,3394987,3917735,3917739,3917734,3917738,3917737,3917000
compute-0-263   free                 0     0      0  377gb/377gb   80/80     0/0     0/0 --
compute-0-238   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 4099857
compute-0-239   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 4099857
compute-0-251   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-250   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-252   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-253   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-254   free                 1     1      0  125gb/125gb   55/56     0/0     0/0 3892303
compute-0-246   free                12    12      0    63gb/63gb   28/40     0/0     0/0 3871455,3871527,3871545,3871556,3871575,3871615,3871639,3871690,3871705,3871734,3871777,3871799
compute-0-267   free                 0     0      0  125gb/125gb   16/16     0/0     0/0 --
compute-0-268   free                 0     0      0    31gb/31gb   12/12     0/0     0/0 --
compute-0-242   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 3843567
compute-0-255   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-256   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-243   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 3843567
compute-0-257   free                 0     0      0  125gb/125gb   56/56     0/0     0/0 --
compute-0-244   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 3843567
compute-0-247   free                15    15      0    63gb/63gb   25/40     0/0     0/0 3871421,3871458,3871508,3871517,3871528,3871564,3871596,3871606,3871622,3871632,3871660,3871678,3871700,3871720,3871758
compute-0-245   job-busy             1     1      0  251gb/251gb    0/32     0/0     0/0 3843567
compute-0-249   free                 9     9      0    63gb/63gb   31/40     0/0     0/0 3871499,3871542,3871563,3871616,3871666,3871687,3871703,3871736,3871802
compute-0-221   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-258   free                 1     1      0  125gb/125gb   55/56     0/0     0/0 3892784
compute-0-240   free                 0     0      0  251gb/251gb   32/32     0/0     0/0 --
compute-0-259   free                 7     7      0    63gb/63gb   33/40     0/0     0/0 3871572,3871698,3871718,3871724,3871764,3871805,3871851
compute-0-260   free                 7     7      0    63gb/63gb   33/40     0/0     0/0 3871522,3871540,3871555,3871574,3871619,3871710,3871834
compute-0-266   free                 6     6      0  277gb/377gb    8/80     0/0     0/0 4065992,2396939,4089793,4090418,4090700,4090974
compute-0-265   free                 0     0      0  377gb/377gb   80/80     0/0     0/0 --
compute-0-261   free                 8     8      0    63gb/63gb   32/40     0/0     0/0 3871494,3154055,3871539,3871643,3871723,3154163,3871741,3871839
compute-0-262   free                 7     7      0    63gb/63gb   33/40     0/0     0/0 3871518,3871529,3871584,3871697,3871732,3871774,3871836
compute-0-19    free                 0     0      0  188gb/188gb   20/20     0/0     0/0 --
compute-0-241   free                 0     0      0  251gb/251gb   32/32     0/0     0/0 --
compute-0-220   free                 0     0      0    94gb/94gb   24/24     0/0     0/0 --
compute-0-18    free                 1     1      0  375gb/377gb   47/48     0/0     0/0 4095456
compute-0-269   free                 4     4      0    55gb/55gb   20/24     0/0     0/0 3871746,3871787,3154217,3154227
compute-0-270   free                10    10      0    63gb/63gb   14/24     0/0     0/0 3871491,3871538,3871567,3871604,3871642,3871679,3871702,3871728,3871828,3871853
compute-0-271   free                 3     3      0    63gb/63gb   21/24     0/0     0/0 3154209,3154301,3154372
compute-0-272   free                10    10      0    63gb/63gb   14/24     0/0     0/0 3871655,3871683,3871712,3871727,3871748,3154114,3871751,3871772,3871795,3154304
compute-0-3     free                 9     9      0     7gb/23gb    3/12     0/0     0/0 3014825,3014827,3014829,3014842,3014834,3236284,4070404,3783583,4070389
compute-0-64    free                 0     0      0    63gb/63gb   12/12     0/0     0/0 --
compute-0-264   free                33    33      0  377gb/377gb   47/80     0/0     0/0 7066801,7103078,7125543,7144127,7145719,7145723,7145726,7145727,7159968,7180672,7170361,7180632,7180633,7180645,7180635,7180631,7180674,7180675,7180677,7180680,7180741,4078150,4077066,4078151,4078219,4078220,4078221,4078222,4078223,4084875,4089035,4089036,4089076
compute-0-273   free                11    11      0  126gb/126gb   37/48     0/0     0/0 3871427,3871511,3871549,3871565,3871583,3871597,3871607,3871658,3871661,3871707,3871747
compute-0-274   free                 9     9      0  126gb/126gb   39/48     0/0     0/0 3871512,2843764,3871553,3871592,3871618,3871631,3871708,3871761,3871782
compute-0-278   free                 0     0      0  126gb/126gb   16/16     0/0     0/0 --
compute-0-275   free                 7     7      0  126gb/126gb   41/48     0/0     0/0 3871513,3871588,3871657,3871733,3871755,3871776,3871811
compute-0-291   free                 2     2      0  126gb/126gb   26/28     0/0     0/0 4088041,3235722
compute-0-276   free                 6     6      0  126gb/126gb   42/48     0/0     0/0 3871533,3871593,3871706,3871760,3871813,2718414
compute-0-277   free                 6     6      0  126gb/126gb   42/48     0/0     0/0 3871506,3871526,3871620,3871654,3871672,3154276
compute-0-279   free                14    14      0  126gb/126gb    2/16     0/0     0/0 3871430,3871515,3871520,3871534,3871546,3871558,3871577,3871586,3871602,3871605,3871626,3871645,3871675,3871695
compute-0-293   free                17    17      0  126gb/126gb   11/28     0/0     0/0 7103058,7103081,7104501,7130357,7130361,7130412,7136023,7136025,7136027,7136028,7136030,4081415,7170362,7180664,7180665,7180623,4100541
compute-0-281   free                11    11      0  126gb/126gb    5/16     0/0     0/0 3871656,3871682,3871711,3154110,3154127,3871729,3871750,3871771,3871780,3871808,3871846
